, Machine ,0,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.60383,  1.10248,  1.17723,  3.71585,  1.65512
 Energy , 813.284810 mJ, 538.886712 mJ, 604.462870 mJ, 1735.677251 mJ, 802.837473 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 37.6015 mm^2, 37.6015 mm^2, 37.6015 mm^2, 37.6015 mm^2, 37.6015 mm^2
Subthreshold Leakage , 2.91049 W, 2.91049 W, 2.91049 W, 2.91049 W, 2.91049 W
Gate Leakage , 0.0186922 W, 0.0186922 W, 0.0186922 W, 0.0186922 W, 0.0186922 W
Runtime Dynamic , 1.85762 W, 1.85455 W, 2.10352 W, 1.51223 W, 1.74124 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 41.0389 mm^2, 41.0389 mm^2, 41.0389 mm^2, 41.0389 mm^2, 41.0389 mm^2
Subthreshold Leakage , 0.0246046 W, 0.0246046 W, 0.0246046 W, 0.0246046 W, 0.0246046 W
Gate Leakage , 0.00569396 W, 0.00569396 W, 0.00569396 W, 0.00569396 W, 0.00569396 W
Runtime Dynamic , 0.186285 W, 0.00910992 W, 0.00722684 W, 0.116216 W, 0.0737266 W
, Machine ,1,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.53747,  1.13880,  1.18263,  7.05754,  2.62833
 Energy , 479.262916 mJ, 353.673161 mJ, 374.025984 mJ, 2029.421792 mJ, 772.186533 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 17.5954 mm^2, 17.5954 mm^2, 17.5954 mm^2, 17.5954 mm^2, 17.5954 mm^2
Subthreshold Leakage , 2.50962 W, 2.50962 W, 2.50962 W, 2.50962 W, 2.50962 W
Gate Leakage , 0.0189625 W, 0.0189625 W, 0.0189625 W, 0.0189625 W, 0.0189625 W
Runtime Dynamic , 0.499585 W, 0.500981 W, 0.559397 W, 0.207781 W, 0.297759 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2
Subthreshold Leakage , 0.00886875 W, 0.00886875 W, 0.00886875 W, 0.00886875 W, 0.00886875 W
Gate Leakage , 0.00107422 W, 0.00107422 W, 0.00107422 W, 0.00107422 W, 0.00107422 W
Runtime Dynamic , 0.0104672 W, 0.000868803 W, 0.00024668 W, 0.025636 W, 0.0079842 W
, Machine ,2,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.59488,  1.13756,  1.18990,  7.05754,  2.63117
 Energy , 448.583068 mJ, 319.200019 mJ, 340.093648 mJ, 1847.874082 mJ, 702.117716 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 15.9377 mm^2, 15.9377 mm^2, 15.9377 mm^2, 15.9377 mm^2, 15.9377 mm^2
Subthreshold Leakage , 2.28171 W, 2.28171 W, 2.28171 W, 2.28171 W, 2.28171 W
Gate Leakage , 0.0173334 W, 0.0173334 W, 0.0173334 W, 0.0173334 W, 0.0173334 W
Runtime Dynamic , 0.415802 W, 0.430686 W, 0.48201 W, 0.18007 W, 0.257798 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2
Subthreshold Leakage , 0.00886875 W, 0.00886875 W, 0.00886875 W, 0.00886875 W, 0.00886875 W
Gate Leakage , 0.00107422 W, 0.00107422 W, 0.00107422 W, 0.00107422 W, 0.00107422 W
Runtime Dynamic , 0.0193497 W, 0.00107155 W, 0.00270827 W, 0.0256472 W, 0.0080438 W
, Machine ,3,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.53748,  1.13559,  1.18263,  7.05756,  2.62833
 Energy , 443.974563 mJ, 325.841879 mJ, 346.879665 mJ, 1867.427376 mJ, 714.836635 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 16.0884 mm^2, 16.0884 mm^2, 16.0884 mm^2, 16.0884 mm^2, 16.0884 mm^2
Subthreshold Leakage , 2.28171 W, 2.28171 W, 2.28171 W, 2.28171 W, 2.28171 W
Gate Leakage , 0.0173334 W, 0.0173334 W, 0.0173334 W, 0.0173334 W, 0.0173334 W
Runtime Dynamic , 0.499582 W, 0.493406 W, 0.559389 W, 0.20778 W, 0.297759 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
Area , 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2, 12.8813 mm^2
Subthreshold Leakage , 0.00886875 W, 0.00886875 W, 0.00886875 W, 0.00886875 W, 0.00886875 W
Gate Leakage , 0.00107422 W, 0.00107422 W, 0.00107422 W, 0.00107422 W, 0.00107422 W
Runtime Dynamic , 0.0104686 W, 0.00170562 W, 0.000254125 W, 0.0256361 W, 0.0193248 W
, Machine ,4,,,
 Benchmark, 401bzip2 , 429mcf , 456hmmer , 458sjeng , 470lbm 
 CPI ,  1.56092,  1.13766,  1.18262,  7.05935,  2.63077
 Energy , 484.395309 mJ, 351.834552 mJ, 373.450192 mJ, 2023.243595 mJ, 771.599882 mJ
, Core Data , Core Data , Core Data , Core Data , Core Data 
Area , 17.5954 mm^2, 17.5954 mm^2, 17.5954 mm^2, 17.5954 mm^2, 17.5954 mm^2
Subthreshold Leakage , 2.50962 W, 2.50962 W, 2.50962 W, 2.50962 W, 2.50962 W
Gate Leakage , 0.0189625 W, 0.0189625 W, 0.0189625 W, 0.0189625 W, 0.0189625 W
Runtime Dynamic , 0.492039 W, 0.492507 W, 0.559402 W, 0.207727 W, 0.297483 W
, L2 Data , L2 Data , L2 Data , L2 Data , L2 Data 
